musica_buscada,titulo_video_encontrado,status,busca_limpa,titulo_limpo,similaridade
Don’t Let The Sun Catch You Cryin’ Joe Greene,Don't Let The Sun Catch You Cryin' (Joe Greene),Sucesso (Verificado),dont let the sun catch you cryin joe greene,dont let the sun catch you cryin,100
Dream a Little Dream of Me Fabian Andre,Dream A Little Dream Of Me   Fabian Andree  1931 Tenor Sax,Sucesso (Verificado),dream a little dream of me fabian andre,dream a little dream of me fabian andree 1931 tenor sax,90
Doxy Sonny Rollins,Sonny Rollins - Doxy [1962],Sucesso (Verificado),doxy sonny rollins,sonny rollins doxy,100
Drop Me Off in Harlem Duke Ellington,Drop Me Off In Harlem,Sucesso (Verificado),drop me off in harlem duke ellington,drop me off in harlem,100
E.S.P. Wayne Shorter,E.S.P. (2022 Remaster),Sucesso (Verificado),esp wayne shorter,esp,100
Ease Away Walk Benny Golson,Ease Away Walk,Sucesso (Verificado),ease away walk benny golson,ease away walk,100
Dream Dancing Cole Porter,Dream Dancing / Cole Porter              Trio Z.,Sucesso (Verificado),dream dancing cole porter,dream dancing cole porter trio z,100
Ebb Tide Carl Sigman,Ebb Tide (2018 Stereo Mix),Sucesso (Verificado),ebb tide carl sigman,ebb tide,100
East of the Sun Brooks Bowman,"East of the Sun by Brooks Bowman - Nicki Parrott & Rossano Sportiello at Shanghai Jazz (Madison, NJ)",Sucesso (Verificado),east of the sun brooks bowman,east of the sun by brooks bowman nicki parrott rossano sportiello at shanghai jazz,100
Eine Kleine Nachtmusik Wolfgang Amadeus Mozart,Eine Kleine Nachtmusik - Mozart,Sucesso (Verificado),eine kleine nachtmusik wolfgang amadeus mozart,eine kleine nachtmusik mozart,100
Embraceable You,Embraceable You - Nat King Cole,Sucesso (Verificado),embraceable you,embraceable you nat king cole,100
Emily Johnny Mandel,Emily - Johnny Mandel (1964),Sucesso (Verificado),emily johnny mandel,emily johnny mandel,100
Elmer’s Tune Elmer Albrecht,Elmer's Tune (1941),Sucesso (Verificado),elmers tune elmer albrecht,elmers tune,100
Elizete,Fagner - Elizete (Pseudo Video),Sucesso (Verificado),elizete,fagner elizete,100
Epistrophy Thelonious Monk,Epistrophy,Sucesso (Verificado),epistrophy thelonious monk,epistrophy,100
Emmanuelle Pierre Bachelet,Emmanuelle,Sucesso (Verificado),emmanuelle pierre bachelet,emmanuelle,100
Estate Bruno Martino,Estate,Sucesso (Verificado),estate bruno martino,estate,100
Europa (Earth’s Cry Heaven’s Smile) Carlos Santana,Europa (Earth's Cry Heaven's Smile),Sucesso (Verificado),europa carlos santana,europa,100
Everything Happens to Me Matt Dennis,Everything Happens to Me (Remastered),Sucesso (Verificado),everything happens to me matt dennis,everything happens to me,100
Everybody Loves My Baby Spencer Williams,Everybody Loves My Baby (1983 Satchmo Version),Sucesso (Verificado),everybody loves my baby spencer williams,everybody loves my baby,100
Everything But You Duke Ellington,Ella Fitzgerald - Everything But You  {The Duke Ellington Song Book},Sucesso (Verificado),everything but you duke ellington,ella fitzgerald everything but you the duke ellington song book,100
Everybody’s Song But My Own Kenny Wheeler,Everybody's Song But My Own,Sucesso (Verificado),everybodys song but my own kenny wheeler,everybodys song but my own,100
Ev’ry Time We Say Goodbye Cole Porter,Ev'ry Time We Say Goodbye,Sucesso (Verificado),evry time we say goodbye cole porter,evry time we say goodbye,100
Exactly Like You Jimmy McHugh,Exactly Like You - Jimmy McHugh,Sucesso (Verificado),exactly like you jimmy mchugh,exactly like you jimmy mchugh,100
Fascinating Rhythm George Gershwin,George Gershwin : Fascinating Rhythm (1924),Sucesso (Verificado),fascinating rhythm george gershwin,george gershwin fascinating rhythm,100
Feeling Good Anthony Newley,Feeling Good,Sucesso (Verificado),feeling good anthony newley,feeling good,100
Feelings Morris Albert,Feelings - Morris Albert,Sucesso (Verificado),feelings morris albert,feelings morris albert,100
Faithful Hussar,The Faithful Hussar,Sucesso (Verificado),faithful hussar,the faithful hussar,100
Fee-Fi-Fo-Fum Wayne Shorter,Fee-Fi-Fo-Fum (Remastered1998/Rudy Van Gelder Edition),Sucesso (Verificado),feefifofum wayne shorter,feefifofum,100
Flamingo Ted Grouya,Flamingo.by Ted Grouya,Sucesso (Verificado),flamingo ted grouya,flamingoby ted grouya,95
Fly Me To The Moon Bart Howard,Fly Me To The Moon (2008 Remastered),Sucesso (Verificado),fly me to the moon bart howard,fly me to the moon,100
Fools Rush In Johnny Mercer,Fools rush in,Sucesso (Verificado),fools rush in johnny mercer,fools rush in,100
My Foolish Heart,Bill Evans Trio - My Foolish Heart (Official Visualizer),Sucesso (Verificado),my foolish heart,bill evans trio my foolish heart,100
Фиксики,"Фиксики - 10 Фиксипелок (Барабан, Часики, Кто такие фиксики, Винтик...) Сборник - детские песенки",Sucesso (Verificado),фиксики,фиксики 10 фиксипелок сборник детские песенки,100
Five Brothers,Five Brothers,Sucesso (Verificado),five brothers,five brothers,100
Footprints Wayne Shorter,Footprints (Remastered),Sucesso (Verificado),footprints wayne shorter,footprints,100
For All We Know J. Fred Coots,For All We Know - Sam Lewis & Fred Coots,Sucesso (Verificado),for all we know j fred coots,for all we know sam lewis fred coots,96
For Heaven’s Sake Elise Bretton,"For Heaven's Sake (by Sherman Edwards, Elise Bretton and Don Meyer)",Sucesso (Verificado),for heavens sake elise bretton,for heavens sake,100
Four Brothers Jimmy Giuffre,Four Brothers,Sucesso (Verificado),four brothers jimmy giuffre,four brothers,100
Freight Trane Tommy Flanagan,Freight Trane (feat. Kenny Burrell),Sucesso (Verificado),freight trane tommy flanagan,freight trane,100
Freddie Freeloader Miles Davis,Miles Davis - Freddie Freeloader (Official Audio),Sucesso (Verificado),freddie freeloader miles davis,miles davis freddie freeloader,100
Four Miles Davis,Four,Sucesso (Verificado),four miles davis,four,100
"Gee Baby, Ain`t I Good To You Don Redman","Gee Baby, Ain't I Good To You (Remastered 1999/Rudy Van Gelder Edition)",Sucesso (Verificado),gee baby aint i good to you don redman,gee baby aint i good to you,100
Georgia On My Mind (traditional) Hoagy Carmichael,7 Georgia on My Mind - Hoagy Carmichael,Sucesso (Verificado),georgia on my mind hoagy carmichael,7 georgia on my mind hoagy carmichael,100
Get Out of Town Cole Porter,Get out of town - Giuseppe Delre sings Cole Porter,Sucesso (Verificado),get out of town cole porter,get out of town giuseppe delre sings cole porter,100
Georgia On My Mind Hoagy Carmichael,Georgia On My Mind,Sucesso (Verificado),georgia on my mind hoagy carmichael,georgia on my mind,100
Getting Some Fun Out Of Life E. Leslie,Getting Some Fun Out of Life,Sucesso (Verificado),getting some fun out of life e leslie,getting some fun out of life,100
Giant Steps John Coltrane,John Coltrane - Giant Steps (2020 Remaster) [Official Audio],Sucesso (Verificado),giant steps john coltrane,john coltrane giant steps,100
Go Down Moses,"Go Down, Moses",Sucesso (Verificado),go down moses,go down moses,100
Give Me The Simple Life Rube Bloom,Give me the Simple Life,Sucesso (Verificado),give me the simple life rube bloom,give me the simple life,100
Forest Flower Charles Lloyd,"Charles Lloyd Quartet at Monterey Jazz Festival - Forest Flower, Sunrise-Sunset",Sucesso (Verificado),forest flower charles lloyd,charles lloyd quartet at monterey jazz festival forest flower sunrisesunset,100
God Bless the Child Billie Holiday,Billie Holiday - God Bless The Child (Audio),Sucesso (Verificado),god bless the child billie holiday,billie holiday god bless the child,100
Golden Earrings Victor Young,Golden Earrings (Remastered),Sucesso (Verificado),golden earrings victor young,golden earrings,100
Gone with the Wind Allie Wrubel,"Gone With The Wind (music Allie Wrubel, lyrics Herb Magidson)",Sucesso (Verificado),gone with the wind allie wrubel,gone with the wind,100
Good Bait Tadd Dameron,Tadd Dameron Sextet at Royal Roost - Good Bait (1st version),Sucesso (Verificado),good bait tadd dameron,tadd dameron sextet at royal roost good bait,100
Goodbye Gordon Jenkins,Gordon Jenkins with chorus - Goodbye,Sucesso (Verificado),goodbye gordon jenkins,gordon jenkins with chorus goodbye,100
Goody Goody Matty Malneck,Goody Goody by Matt Malneck,Sucesso (Verificado),goody goody matty malneck,goody goody by matt malneck,90
Groove Juice Special Slim Gaillard,Groove Juice Special,Sucesso (Verificado),groove juice special slim gaillard,groove juice special,100
Groovin’ High Dizzy Gillespie,Groovin' High,Sucesso (Verificado),groovin high dizzy gillespie,groovin high,100
Hackensack Thelonious Monk,Thelonious Monk - Hackensack HQ,Sucesso (Verificado),hackensack thelonious monk,thelonious monk hackensack,100
Half Nelson Miles Davis,Miles Davis - Half Nelson,Sucesso (Verificado),half nelson miles davis,miles davis half nelson,100
Hallelujah,Leonard Cohen - Hallelujah (Official Audio),Sucesso (Verificado),hallelujah,leonard cohen hallelujah,100
Have You Met Miss Jones? Richard Rodgers,"Have you met miss Jones - Richard Rodgers (F key, Swing)",Sucesso (Verificado),have you met miss jones richard rodgers,have you met miss jones richard rodgers,100
Have Yourself a Merry Little Christmas Hugh Martin,"Hugh Martin, Have Yourself a Merry Little Christmas",Sucesso (Verificado),have yourself a merry little christmas hugh martin,hugh martin have yourself a merry little christmas,100
"Hello, Dolly Jerry Herman","Hello, Dolly!",Sucesso (Verificado),hello dolly jerry herman,hello dolly,100
Hey Jude John Lennon,Hey Jude (Remastered 2015),Sucesso (Verificado),hey jude john lennon,hey jude,100
Historia de un Amor Carlos Eleta Almarán,Historia de un Amor,Sucesso (Verificado),historia de un amor carlos eleta almarán,historia de un amor,100
Hit That Jive Jack,"Hit That Jive, Jack (Remastered)",Sucesso (Verificado),hit that jive jack,hit that jive jack,100
Hindustan,Hindustan Hindustan (Border),Sucesso (Verificado),hindustan,hindustan hindustan,100
Honeysuckle Rose Fats Waller,1935 HITS ARCHIVE: Honeysuckle Rose - Fats Waller,Sucesso (Verificado),honeysuckle rose fats waller,1935 hits archive honeysuckle rose fats waller,100
How About You ? Burton Lane,How about you?,Sucesso (Verificado),how about you burton lane,how about you,100
How Deep Is the Ocean? Irving Berlin,How Deep Is the Ocean,Sucesso (Verificado),how deep is the ocean irving berlin,how deep is the ocean,100
How High The Moon,Chet Baker - How High The Moon (Mono/Remastered 2023) (Official Audio),Sucesso (Verificado),how high the moon,chet baker how high the moon,100
How Insensitive Antônio Carlos Jobim,How Insensitive (Insensatez),Sucesso (Verificado),how insensitive antônio carlos jobim,how insensitive,100
How Little We Know Hoagy Carmichael,"""How Little We Know"" - Hoagy Carmichael & Orchestra (1944 ARA)",Sucesso (Verificado),how little we know hoagy carmichael,how little we know hoagy carmichael orchestra,100
How Long Has This Been Going On? George Gershwin,06.- How Long Has This Been Going On? - George Gershwin - The Very Best Of,Sucesso (Verificado),how long has this been going on george gershwin,06 how long has this been going on george gershwin the very best of,100
I Almost Lost My Mind Ivory Joe Hunter,1950 Ivory Joe Hunter - I Almost Lost My Mind (#1 R&B hit),Sucesso (Verificado),i almost lost my mind ivory joe hunter,1950 ivory joe hunter i almost lost my mind,100
I Can’t Believe That You’re In Love With Me Jimmy McHugh,I Can't Believe That You're in Love With Me (McHugh),Sucesso (Verificado),i cant believe that youre in love with me jimmy mchugh,i cant believe that youre in love with me,100
I Can`t Get Started Vernon Duke,I Can't Get Started,Sucesso (Verificado),i cant get started vernon duke,i cant get started,100
I Can`t Give You Anything But Love Jimmy McHugh,"I Can't Give You Anything but Love, Baby",Sucesso (Verificado),i cant give you anything but love jimmy mchugh,i cant give you anything but love baby,93
I Didn’t Know About You Duke Ellington,I Didn't Know About You (Take Four),Sucesso (Verificado),i didnt know about you duke ellington,i didnt know about you,100
I Could Write a Book Lorenz Hart,I Could Write a Book,Sucesso (Verificado),i could write a book lorenz hart,i could write a book,100
I Concentrate on You Cole Porter,I Concentrate On You,Sucesso (Verificado),i concentrate on you cole porter,i concentrate on you,100
I Get a Kick Out of You Cole Porter,I Get a Kick out of You,Sucesso (Verificado),i get a kick out of you cole porter,i get a kick out of you,100
I Get Along Without You Very Well Hoagy Carmichael,"I Get Along Without You Very Well, Hoagy Carmichael",Sucesso (Verificado),i get along without you very well hoagy carmichael,i get along without you very well hoagy carmichael,100
I Got Rhythm George Gershwin,I Got Rhythm (1930) - George Gershwin,Sucesso (Verificado),i got rhythm george gershwin,i got rhythm george gershwin,100
I Know That You Know Vincent Youmans,I Know That You Know - Vincent Youmans & Anne Caldwell [1926 piano / voice sheet music arrangement],Sucesso (Verificado),i know that you know vincent youmans,i know that you know vincent youmans anne caldwell,100
I Got it Bad and That Ain’t Good Duke Ellington,Duke Ellington - I Got It Bad (And That Ain't Good),Sucesso (Verificado),i got it bad and that aint good duke ellington,duke ellington i got it bad,100
I Guess I’ll Hang My Tears Out to Dry Sammy Cahn,Guess I'll Hang My Tears Out To Dry (1958 Mono Mix),Sucesso (Verificado),i guess ill hang my tears out to dry sammy cahn,guess ill hang my tears out to dry,100
I Let a Song Go Out of My Heart Duke Ellington,1938 HITS ARCHIVE: I Let A Song Go Out Of My Heart - Duke Ellington,Sucesso (Verificado),i let a song go out of my heart duke ellington,1938 hits archive i let a song go out of my heart duke ellington,100
I Love You Cole Porter,Do I Love You? (Remastered),Sucesso (Verificado),i love you cole porter,do i love you,87
I Love Paris Cole Porter,I Love Paris,Sucesso (Verificado),i love paris cole porter,i love paris,100
I left my heart in San Francisko George Cory,I left my Heart in San Francisco - George Cory 1953,Sucesso (Verificado),i left my heart in san francisko george cory,i left my heart in san francisco george cory 1953,92
I Only Have Eyes for You Harry Warren,I Only Have Eyes for You,Sucesso (Verificado),i only have eyes for you harry warren,i only have eyes for you,100
I Remember Clifford Benny Golson,I Remember Clifford,Sucesso (Verificado),i remember clifford benny golson,i remember clifford,100
I Thought About You Jimmy Van Heusen,"I Thought About You [lead sheet] – Jimmy Van Heusen, Johnny Mercer",Sucesso (Verificado),i thought about you jimmy van heusen,i thought about you jimmy van heusen johnny mercer,100
I Mean You Thelonius Monk,Thelonious Monk - I Mean You (Audio Only),Sucesso (Verificado),i mean you thelonius monk,thelonious monk i mean you,98
I Want A Roof Over My Head,Helen Humes - I Want A Roof Over My Head (Official Audio),Sucesso (Verificado),i want a roof over my head,helen humes i want a roof over my head,100
I Won’t Dance,I Won't Dance,Sucesso (Verificado),i wont dance,i wont dance,100
If I Love Again Ben Oakland,If I Love Again,Sucesso (Verificado),if i love again ben oakland,if i love again,100
If I Had You Jimmy Campbell,If I Had You (Jimmy Campbell and Reg Connelly),Sucesso (Verificado),if i had you jimmy campbell,if i had you,100
If I Were a Bell Frank Loesser,If I Were a Bell,Sucesso (Verificado),if i were a bell frank loesser,if i were a bell,100
If I Should Lose You Ralph Rainger,If I Should lose you,Sucesso (Verificado),if i should lose you ralph rainger,if i should lose you,100
I’ll Keep On Loving You F. Tillman,I'll Keep On Loving You~Floyd Tillman,Sucesso (Verificado),ill keep on loving you f tillman,ill keep on loving youfloyd tillman,90
I’ll Close My Eyes Billy Reid,Mildred Bailey - I’ll Close My Eyes,Sucesso (Verificado),ill close my eyes billy reid,mildred bailey ill close my eyes,87
I’ll Be Seeing You Sammy Fain,"I'll Be Seeing You. Music by Sammy Fain, Lyrics by Irving Kahal",Sucesso (Verificado),ill be seeing you sammy fain,ill be seeing you music by sammy fain s by irving kahal,100
I’m a Fool to Want You Frank Sinatra,I'm a Fool to Want You (Remastered),Sucesso (Verificado),im a fool to want you frank sinatra,im a fool to want you,100
I’m An Errand Boy For Rhythm Nat King Cole,I'm an Errand Boy for Rhythm,Sucesso (Verificado),im an errand boy for rhythm nat king cole,im an errand boy for rhythm,100
I’m An Old Cowhand Johnny Mercer,I'm an Old Cowhand (Johnny Mercer),Sucesso (Verificado),im an old cowhand johnny mercer,im an old cowhand,100
I’m Beginning To See The Light Duke Ellington,I'm Beginning to See the Light (Remastered),Sucesso (Verificado),im beginning to see the light duke ellington,im beginning to see the light,100
I’m Getting Sentimental Over You George Bassman,I'm Getting Sentimental Over You - George Bassman (1932),Sucesso (Verificado),im getting sentimental over you george bassman,im getting sentimental over you george bassman,100
I’m Crazy ‘Bout My Baby A. Hill,I'm Crazy Bout My Baby,Sucesso (Verificado),im crazy bout my baby a hill,im crazy bout my baby,100
I’m In The Mood For Love Jimmy McHugh,I'm In The Mood For Love - Jimmy McHugh (1935),Sucesso (Verificado),im in the mood for love jimmy mchugh,im in the mood for love jimmy mchugh,100
I`m Gonna Sit Right Down Fred E. Ahlert,I`m Gonna Sit Right  Down And   Write Myself A LetterMusic by Fred E. Ahlert,Sucesso (Verificado),im gonna sit right down fred e ahlert,im gonna sit right down and write myself a lettermusic by fred e ahlert,100
I’m Just A Lucky So And So Duke Ellington,I'm Just A Lucky So And So - Louis Armstrong & Duke Ellington,Sucesso (Verificado),im just a lucky so and so duke ellington,im just a lucky so and so louis armstrong duke ellington,100
I’m Putting All My Eggs In One Basket Irving Berlin,I'm Putting All My Eggs in One Basket,Sucesso (Verificado),im putting all my eggs in one basket irving berlin,im putting all my eggs in one basket,100
Impressions John Coltrane,John Coltrane - Impressions (Audio),Sucesso (Verificado),impressions john coltrane,john coltrane impressions,100
In a Sentimental Mood Duke Ellington,In A Sentimental Mood,Sucesso (Verificado),in a sentimental mood duke ellington,in a sentimental mood,100
In the mood Wingy Manone,TAR PAPER STOMP by WINGY MANONE IN THE MOOD ON 193GENNETT,Sucesso (Verificado),in the mood wingy manone,tar paper stomp by wingy manone in the mood on 193gennett,100
Indiana James F. Hanley,Introduction to Indiana by James F. Hanley with Tim Richards,Sucesso (Verificado),indiana james f hanley,introduction to indiana by james f hanley with tim richards,100
Infant Eyes Wayne Shorter,Infant Eyes (Remastered1998/Rudy Van Gelder Edition),Sucesso (Verificado),infant eyes wayne shorter,infant eyes,100
Interplay Bill Evans,Bill Evans Quintet - Interplay (Official Visualizer),Sucesso (Verificado),interplay bill evans,bill evans quintet interplay,100
Isn’t She Lovely Stevie Wonder,Isn't She Lovely,Sucesso (Verificado),isnt she lovely stevie wonder,isnt she lovely,100
It Could Happen to You Jimmy Van Heusen,It could happen to you - Jimmy Van Heusen,Sucesso (Verificado),it could happen to you jimmy van heusen,it could happen to you jimmy van heusen,100
It don`t mean a thing Duke Ellington,"1932 HITS ARCHIVE: It Don’t Mean A Thing (If It Ain’t Got That Swing) - Duke Ellington (Ivie A, voc)",Sucesso (Verificado),it dont mean a thing duke ellington,1932 hits archive it dont mean a thing duke ellington,100
It Had Better Be Tonight (Meglio stasera) Henry Mancini,It Had Better Be Tonight (Meglio Stasera),Sucesso (Verificado),it had better be tonight henry mancini,it had better be tonight,100
It’s All Your Fault Cindy Walker,It’s All Your Fault,Sucesso (Verificado),its all your fault cindy walker,its all your fault,100
It had to be you Isham Jones,It Had to Be You,Sucesso (Verificado),it had to be you isham jones,it had to be you,100
It’s Impossible Armando Manzanero,It's Impossible,Sucesso (Verificado),its impossible armando manzanero,its impossible,100
It’s Only A Paper Moon Harold Arlen,Harold Arlen - It’s Only a Paper Moon,Sucesso (Verificado),its only a paper moon harold arlen,harold arlen its only a paper moon,100
I’ve Got A Feeling I’m Falling Fats Waller,I've Got a Feeling a I'm Falling,Sucesso (Verificado),ive got a feeling im falling fats waller,ive got a feeling a im falling,100
I’ve Got The World On A String Harold Arlen,Harold Arlen - I’ve Got the World On a String,Sucesso (Verificado),ive got the world on a string harold arlen,harold arlen ive got the world on a string,100
I`ve found a new baby Jack Palmer,I've Found A New Baby (Remastered 2008 / Rudy Van Gelder Edition),Sucesso (Verificado),ive found a new baby jack palmer,ive found a new baby,100
I`ve got you under my skin Cole Porter,Frank Sinatra - I've Got You Under My Skin - Cole Porter Songs,Sucesso (Verificado),ive got you under my skin cole porter,frank sinatra ive got you under my skin cole porter songs,100
Ja-da Bob Carleton,Ja-Da - Bob Carlton,Sucesso (Verificado),jada bob carleton,jada bob carlton,97
I’ve Grown Accustomed To Her Face Frederick Loewe,Frederick Loewe / Alan Lerner - I've Grown Accustomed to Her Face - BBC Radio Orchestra / Farnon,Sucesso (Verificado),ive grown accustomed to her face frederick loewe,frederick loewe alan lerner ive grown accustomed to her face bbc radio orchestra farnon,100
Jazz Me Blues Tom Delaney,E's Jammy Jams - Jazz Me Blues - Tom Delaney,Sucesso (Verificado),jazz me blues tom delaney,es jammy jams jazz me blues tom delaney,100
Jeepers Creepers Harry Warren,Jeepers Creepers (Remastered),Sucesso (Verificado),jeepers creepers harry warren,jeepers creepers,100
Jeeves & Wooster Anne Dudley,Jeeves And Wooster,Sucesso (Verificado),jeeves wooster anne dudley,jeeves and wooster,88
Jersey Bounce Tiny Bradshaw,"Tiny Bradshaw, Eddie Johnson, Bobby Plater & Buddy Feyne - Jersey Bounce - LC Swing Big Band",Sucesso (Verificado),jersey bounce tiny bradshaw,tiny bradshaw eddie johnson bobby plater buddy feyne jersey bounce lc swing big band,100
Jingle Bell Rock Joe Beal,Jingle Bell Rock (Joe Beal),Sucesso (Verificado),jingle bell rock joe beal,jingle bell rock,100
Jingle Bells James Lord Pierpont,JIngle Bells [James Lord Pierpont],Sucesso (Verificado),jingle bells james lord pierpont,jingle bells,100
Joy Spring Clifford Brown,Joy Spring,Sucesso (Verificado),joy spring clifford brown,joy spring,100
Jumpin’ With Symphony Sid Lester Young,Jumpin' With Symphony Sid (Remastered 1995),Sucesso (Verificado),jumpin with symphony sid lester young,jumpin with symphony sid,100
Just a Closer Walk with Thee,Alabama - Just A Closer Walk With Thee (Live),Sucesso (Verificado),just a closer walk with thee,alabama just a closer walk with thee,100
"Just You, Just Me Jesse Greer","Just You, Just Me - Jesse Greer (1929)",Sucesso (Verificado),just you just me jesse greer,just you just me jesse greer,100
Just The Way You Are Billy Joel,Billy Joel - Just the Way You Are (Official Audio),Sucesso (Verificado),just the way you are billy joel,billy joel just the way you are,100
Key To The Highway B. B. Broonzy,Big Bill Broonzy-Key To the Highway,Sucesso (Verificado),key to the highway b b broonzy,big bill broonzykey to the highway,87
Killer Joe Benny Golson,Killer Joe,Sucesso (Verificado),killer joe benny golson,killer joe,100
Klactoveesedstene Charlie Parker,Charlie Parker - Klactoveesedstene (Official Audio),Sucesso (Verificado),klactoveesedstene charlie parker,charlie parker klactoveesedstene,100
Killing Me Softly with His Song Charles Fox,Fugees - Killing Me Softly With His Song (HQ),Sucesso (Verificado),killing me softly with his song charles fox,fugees killing me softly with his song,90
L-O-V-E Bert Kaempfert,L.O.V.E.,Sucesso (Verificado),love bert kaempfert,love,100
La Vie En Rose Édith Piaf,Edith Piaf - La vie en rose (Audio officiel),Sucesso (Verificado),la vie en rose édith piaf,edith piaf la vie en rose,98
La Jouet Vladimir Cosma,VLADIMIR COSMA   -  LE  JOUET,Sucesso (Verificado),la jouet vladimir cosma,vladimir cosma le jouet,96
Lady Be Good George Gershwin,"George Gershwin - Oh, Lady Be Good! [1960]",Sucesso (Verificado),lady be good george gershwin,george gershwin oh lady be good,100
Lady Bird Tadd Dameron,Tadd Dameron Sextet - Lady Bird,Sucesso (Verificado),lady bird tadd dameron,tadd dameron sextet lady bird,100
Lady Bird (original version) Tadd Dameron,Tadd Dameron Sextet - Lady Bird,Sucesso (Verificado),lady bird tadd dameron,tadd dameron sextet lady bird,100
Lazy River Hoagy Carmichael,1st RECORDING OF: Lazy River - Hoagy Carmichael (1930),Sucesso (Verificado),lazy river hoagy carmichael,1st recording of lazy river hoagy carmichael,100
Let’s Call The Whole Thing Off George Gershwin,George Gershwin - Let's Call the Whole Thing Off [1937],Sucesso (Verificado),lets call the whole thing off george gershwin,george gershwin lets call the whole thing off,100
Laura David Raksin,Theme from Laura (1944) - David Raksin,Sucesso (Verificado),laura david raksin,theme from laura david raksin,100
Let’s Face The Music And Dance Irving Berlin,Let's Face the Music and Dance by Irving Berlin/arr. Michael Philip Mossman,Sucesso (Verificado),lets face the music and dance irving berlin,lets face the music and dance by irving berlinarr michael philip mossman,91
Let’s Fall In Love Harold Arlen,1933 Harold Arlen - Let’s Fall In Love,Sucesso (Verificado),lets fall in love harold arlen,1933 harold arlen lets fall in love,100
Libertango Astor Piazzolla,Astor Piazzolla - Libertango (Official Audio),Sucesso (Verificado),libertango astor piazzolla,astor piazzolla libertango,100
Li’l Darlin’ Neal Hefti,Li'l Darlin' (1994 Remaster),Sucesso (Verificado),lil darlin neal hefti,lil darlin,100
Limbo Jazz Duke Ellington,"Limbo Jazz - Duke Ellington, Coleman Hawkins",Sucesso (Verificado),limbo jazz duke ellington,limbo jazz duke ellington coleman hawkins,100
Light Blue Thelonious Monk,Light Blue (Live at Newport Jazz Festival),Sucesso (Verificado),light blue thelonious monk,light blue,100
Line For Lyons Gerry Mulligan,"Chet Baker, Gerry Mulligan - Line for Lyons",Sucesso (Verificado),line for lyons gerry mulligan,chet baker gerry mulligan line for lyons,100
Linger Awhile L. Owens,Linger Awhile,Sucesso (Verificado),linger awhile l owens,linger awhile,100
Lonely Woman Ornette Coleman,Ornette Coleman - Lonely Woman,Sucesso (Verificado),lonely woman ornette coleman,ornette coleman lonely woman,100
Little B’s Poem,Little B's Poem (Remastered 1994),Sucesso (Verificado),little bs poem,little bs poem,100
Limehouse Blues Philip Braham,Limehouse Blues (Philip Braham),Sucesso (Verificado),limehouse blues philip braham,limehouse blues,100
Lotus Blossom Billy Strayhorn,Lotus Blossom,Sucesso (Verificado),lotus blossom billy strayhorn,lotus blossom,100
Love For Sale Cole Porter,Love for Sale,Sucesso (Verificado),love for sale cole porter,love for sale,100
Lotus Blossom (Kenny Dorham) Kenny Dorham,Lotus Blossom,Sucesso (Verificado),lotus blossom kenny dorham,lotus blossom,100
Love Is Here to Stay George Gershwin,Love Is Here To Stay (Remastered 1998),Sucesso (Verificado),love is here to stay george gershwin,love is here to stay,100
Love Is Just Around the Corner Lewis E. Gensler,Lewis Gensler - Love Is Just Around The Corner (1934),Sucesso (Verificado),love is just around the corner lewis e gensler,lewis gensler love is just around the corner,100
Love Theme from The Godfather Nino Rota,"Love Theme From ""The Godfather""",Sucesso (Verificado),love theme from the godfather nino rota,love theme from the godfather,100
Love me or leave me Donaldson,Love Me or Leave Me (Donaldson/Kahn),Sucesso (Verificado),love me or leave me donaldson,love me or leave me,100
Lover Richard Rodgers,Lover (1961),Sucesso (Verificado),lover richard rodgers,lover,100
Lover Man Jimmy Davis,Lover man  Jimmy Davis Roger Ramirez Jimmy Sherman arr,Sucesso (Verificado),lover man jimmy davis,lover man jimmy davis roger ramirez jimmy sherman arr,100
Lullaby of Broadway Harry Warren,The Lullaby Of Broadway,Sucesso (Verificado),lullaby of broadway harry warren,the lullaby of broadway,90
Lulu’s Back In Town Al Dubin,"“Lulus Back In Town""  written by Al Dubin & Harry Warren / performed by Joe Vernazza",Sucesso (Verificado),lulus back in town al dubin,lulus back in town written by al dubin harry warren performed by joe vernazza,100
Lush Life Billy Strayhorn,Lush Life,Sucesso (Verificado),lush life billy strayhorn,lush life,100
Lullaby of birdland George Shearing,George Shearing - Lullaby Of Birdland,Sucesso (Verificado),lullaby of birdland george shearing,george shearing lullaby of birdland,100
Manhã de Carnaval Luiz Bonfá,Manhã de Carnaval,Sucesso (Verificado),manhã de carnaval luiz bonfá,manhã de carnaval,100
Mame Jerry Herman,MAME! (Jerry Herman),Sucesso (Verificado),mame jerry herman,mame,100
Meditation Antônio Carlos Jobim,Antonio Carlos Jobim - Meditation (Meditação),Sucesso (Verificado),meditation antônio carlos jobim,antonio carlos jobim meditation,98
Memories of you Eubie Blake,Memories of You.  Eubie Blake/Andy Razaf (1930).  Richard B,Sucesso (Verificado),memories of you eubie blake,memories of you eubie blakeandy razaf richard b,88
Midnight Sun Lionel Hampton,1947 Lionel Hampton - Midnight Sun,Sucesso (Verificado),midnight sun lionel hampton,1947 lionel hampton midnight sun,100
Minor Swing Django Reinhardt,Django Reinhardt - Minor Swing - Official,Sucesso (Verificado),minor swing django reinhardt,django reinhardt minor swing,100
Minority Gigi Gryce,Minority - Gigi Gryce,Sucesso (Verificado),minority gigi gryce,minority gigi gryce,100
